birdID,species,bandNumber,colorComboL,colorComboR
2590-83015,HOWR,2590-83015,W,XR
2590-83016,HOWR,2590-83016,BK,X
2590-83017,HOWR,2590-83017,GM,X
2590-83019,HOWR,2590-83019,KM,X
2590-83020,HOWR,2590-83020,KO,X
2590-83026,HOWR,2590-83026,XM,R
2590-83030,HOWR,2590-83030,KR,X
2590-83043,HOWR,2590-83043,XB,O
2590-83045,HOWR,2590-83045,RX,M
2590-83050,HOWR,2590-83050,RX,G
2590-83051,HOWR,2590-83051,YX,R
2590-83054,HOWR,2590-83054,MR,X
2590-83055,HOWR,2590-83055,G,XK
2590-83058,HOWR,2590-83058,R,XR
2590-83059,HOWR,2590-83059,XG,B
2590-83063,HOWR,2590-83063,X,GG
2590-83064,HOWR,2590-83064,RO,X
2590-83066,HOWR,2590-83066,O,XY
2590-83067,HOWR,2590-83067,MX,W
2590-83068,HOWR,2590-83068,RX,G
2590-83070,HOWR,2590-83070,X,BO
2590-83074,HOWR,2590-83074,XG,O
2590-83075,HOWR,2590-83075,X,WW
2590-83076,HOWR,2590-83076,XW,W
2590-83077,HOWR,2590-83077,YO,X
2590-83082,HOWR,2590-83082,RX,G
2590-83084,HOWR,2590-83084,Y,OX
2590-83085,HOWR,2590-83085,X,YW
2590-83089,HOWR,2590-83089,M,XR
2590-83090,HOWR,2590-83090,YX,M
2590-83093,HOWR,2590-83093,RX,O
2590-83095,HOWR,2590-83095,OR,X
2590-83096,HOWR,2590-83096,XW,W
2590-83097,HOWR,2590-83097,XB,M
2590-83112,HOWR,2590-83112,PX,M
2590-83113,HOWR,2590-83113,XP,B
2590-83114,HOWR,2590-83114,PM,X
2590-83116,HOWR,2590-83116,PW,X
2590-83122,HOWR,2590-83122,XP,Y
2590-83135,HOWR,2590-83135,Y,XY
2590-83136,HOWR,2590-83136,WK,X
2590-83137,HOWR,2590-83137,PY,X
2590-83138,HOWR,2590-83138,B,RX
2590-83139,HOWR,2590-83139,P,XM
2590-83143,HOWR,2590-83143,M,XG
2590-83144,HOWR,2590-83144,R,BX
2590-83145,HOWR,2590-83145,P,XR
2590-83149,HOWR,2590-83149,P,YX
2590-83150,HOWR,2590-83150,OO,X
2590-83152,HOWR,2590-83152,PX,Y
2590-83153,HOWR,2590-83153,XG,R
2590-83157,HOWR,2590-83157,XY,G
2590-83158,HOWR,2590-83158,MX,O
2590-83160,HOWR,2590-83160,PX,B
2590-83162,HOWR,2590-83162,P,GX
2590-83163,HOWR,2590-83163,X,Y
2590-83164,HOWR,2590-83164,P,XG
2590-83166,HOWR,2590-83166,XG,K
2590-83167,HOWR,2590-83167,X,MW
2590-83168,HOWR,2590-83168,X,BK
2590-83169,HOWR,2590-83169,G,XW
2590-83172,HOWR,2590-83172,XK,K
2590-83175,HOWR,2590-83175,X,YG
2590-83179,HOWR,2590-83179,X,GK
2590-83182,HOWR,2590-83182,G,KX
2590-83183,HOWR,2590-83183,OX,K
2590-83184,HOWR,2590-83184,O,KX
2590-83186,HOWR,2590-83186,X,KK
2590-83187,HOWR,2590-83187,G,XK
2590-83188,HOWR,2590-83188,XK,G
2590-83192,HOWR,2590-83192,OX,Y
2590-83193,HOWR,2590-83193,X,RM
2590-83194,HOWR,2590-83194,X,-
2590-83195,HOWR,2590-83195,-,X
2590-83196,HOWR,2590-83196,Y,XB
2590-83315,HOWR,2590-83315,P,XY
25908-21812,HOWR,25908-21812,RG,X
2610-37302,HOWR,2610-37302,W,XW
2610-37303,HOWR,2610-37303,Y,XB
2610-37304,HOWR,2610-37304,X,BR
2610-37313,HOWR,2610-37313,RX,B
2610-37314,HOWR,2610-37314,RX,R
2610-37319,HOWR,2610-37319,W,XG
2610-37321,HOWR,2610-37321,Y,WX
2610-37322,HOWR,2610-37322,OG,X
2610-37323,HOWR,2610-37323,RX,B
2610-37324,HOWR,2610-37324,B,BX
2610-37325,HOWR,2610-37325,O,XY
2610-37328,HOWR,2610-37328,XR,M
2610-37330,HOWR,2610-37330,WM,X
2610-37331,HOWR,2610-37331,Y,XG
2610-37332,HOWR,2610-37332,B,XB
2610-37336,HOWR,2610-37336,BX,G
2610-37340,HOWR,2610-37340,X,P
2610-37341,HOWR,2610-37341,X,M
2610-37343,HOWR,2610-37343,W,XW
2610-37344,HOWR,2610-37344,GX,O
2610-37346,HOWR,2610-37346,X,M
2610-37347,HOWR,2610-37347,X,R
2610-37348,HOWR,2610-37348,OX,Y
2610-37349,HOWR,2610-37349,B,XY
2610-37358,HOWR,2610-37358,W,XW
2610-37363,HOWR,2610-37363,X,KO
2610-37365,HOWR,2610-37365,XB,B
2610-37372,HOWR,2610-37372,YW,X
2610-37377,HOWR,2610-37377,W,XY
2610-37383,HOWR,2610-37383,X,PR
2610-37387,HOWR,2610-37387,YX,Y
2610-37393,HOWR,2610-37393,GR,X
2610-37394,HOWR,2610-37394,Y,XO
2640-94501,HOWR,2640-94501,W,XB
2660-67601,HOWR,2660-67601,OB,X
2660-67615,HOWR,2660-67615,Y,YX
2660-75727,HOWR,2660-75727,O,MX
2660-75731,HOWR,2660-75731,PG,X
2660-75735,HOWR,2660-75735,XB,G
2660-75736,HOWR,2660-75736,YK,X
2660-75741,HOWR,2660-75741,XY,B
2660-75745,HOWR,2660-75745,GG,X
2660-75746,HOWR,2660-75746,R,YX
2660-75748,HOWR,2660-75748,K,GX
2660-75750,HOWR,2660-75750,WY,X
2660-75751,HOWR,2660-75751,XO,K
2660-75757,HOWR,2660-75757,G,WX
2660-75794,HOWR,2660-75794,B,XO
2660-85446,HOWR,2660-85446,BX,M
2660-85449,HOWR,2660-85449,X,WW
2660-85450,HOWR,2660-85450,XR,M
2660-85457,HOWR,2660-85457,O,XW
2660-85458,HOWR,2660-85458,R,GX
2690-08423,HOWR,2690-08423,X,MB
2690-08425,HOWR,2690-08425,Y,WX
2690-08426,HOWR,2690-08426,O,RX
2690-08427,HOWR,2690-08427,YX,R
2690-08428,HOWR,2690-08428,XB,R
2690-08429,HOWR,2690-08429,GX,G
2690-08455,HOWR,2690-08455,X,GB
2690-08460,HOWR,2690-08460,GX,M
2690-08462,HOWR,2690-08462,G,XY
2690-08467,HOWR,2690-08467,XY,B
2690-08470,HOWR,2690-08470,XM,G
2690-08474,HOWR,2690-08474,MX,Y
2690-08481,HOWR,2690-08481,OY,X
2690-08482,HOWR,2690-08482,B,YX
2690-08488,HOWR,2690-08488,RX,B
2690-08490,HOWR,2690-08490,K,XO
2690-08492,HOWR,2690-08492,X,OG
2690-08493,HOWR,2690-08493,B,XK
2690-08494,HOWR,2690-08494,W,OX
2690-08499,HOWR,2690-08499,XY,K
2690-18941,HOWR,2690-18941,KY,X
2690-18972,HOWR,2690-18972,OX,G
2690-18973,HOWR,2690-18973,XO,Y
2690-18980,HOWR,2690-18980,R,GX
2690-18984,HOWR,2690-18984,KO,X
2690-18991,HOWR,2690-18991,R,MX
2690-18992,HOWR,2690-18992,WX,O
2690-18993,HOWR,2690-18993,GM,X
2690-87592,HOWR,2690-87592,XB,G
2690-87594,HOWR,2690-87594,XO,O
2690-87596,HOWR,2690-87596,YK,X
2690-87597,HOWR,2690-87597,X,GR
2690-87702,HOWR,2690-87702,XW,W
2690-87710,HOWR,2690-87710,OK,X
2690-87711,HOWR,2690-87711,X,WY
2690-87711B,HOWR,2690-87711B,X,WO
2690-87713,HOWR,2690-87713,R,XK
2690-87714,HOWR,2690-87714,G,YX
2690-87717,HOWR,2690-87717,XY,Y
2690-87720,HOWR,2690-87720,WX,M
2690-87721,HOWR,2690-87721,K,XB
2690-87723,HOWR,2690-87723,W,YX
2690-87725,HOWR,2690-87725,X,OM
2690-87731,HOWR,2690-87731,G,XM
2690-87734,HOWR,2690-87734,RG,X
2690-87737,HOWR,2690-87737,B,WX
2690-87740,HOWR,2690-87740,OX,O
2690-87745,HOWR,2690-87745,R,BX
2690-87749,HOWR,2690-87749,X,MB
2690-87750,HOWR,2690-87750,X,RG
2690-87756,HOWR,2690-87756,OO,X
2690-87759,HOWR,2690-87759,YX,K
2690-87760,HOWR,2690-87760,O,MX
2690-87768,HOWR,2690-87768,Y,XY
2690-87770,HOWR,2690-87770,XG,R
2690-87774,HOWR,2690-87774,X,OB
2690-87775,HOWR,2690-87775,O,XM
2690-87776,HOWR,2690-87776,RK,X
2690-87777,HOWR,2690-87777,XY,G
2690-87780,HOWR,2690-87780,XR,O
2690-87782,HOWR,2690-87782,M,XR
2690-87783,HOWR,2690-87783,YM,X
2690-87784,HOWR,2690-87784,XO,B
2690-87786,HOWR,2690-87786,RY,X
2690-87795,HOWR,2690-87795,YY,X
2690-87796,HOWR,2690-87796,GK,X
2690-87797,HOWR,2690-87797,R,OX
2690-87819,HOWR,2690-87819,X,RR
2690-87820,HOWR,2690-87820,X,KY
2690-87821,HOWR,2690-87821,O,WX
2690-87822,HOWR,2690-87822,KG,X
2690-87823,HOWR,2690-87823,W,MX
2690-87825,HOWR,2690-87825,GY,X
2690-87829,HOWR,2690-87829,WM,X
2690-87836,HOWR,2690-87836,XM,O
2690-87838,HOWR,2690-87838,GG,X
2690-87839,HOWR,2690-87839,B,MX
2690-87895,HOWR,2690-87895,W,XY
2690-87896,HOWR,2690-87896,K,MX
2690-87897,HOWR,2690-87897,O,XR
2690-87898,HOWR,2690-87898,GM,X
2690-87900,HOWR,2690-87900,X,RG
2690-87915,HOWR,2690-87915,WG,X
2690-87920,HOWR,2690-87920,YX,R
2690-87921,HOWR,2690-87921,X,WR
2690-87927,HOWR,2690-87927,OW,X
2690-87945,HOWR,2690-87945,M,XR
2690-87952,HOWR,2690-87952,W,WX
2690-87953,HOWR,2690-87953,BX,O
2690-95950,HOWR,2690-95950,WR,X
2690-95951,HOWR,2690-95951,X,BY
2690-95952,HOWR,2690-95952,BX,P
2690-95955,HOWR,2690-95955,Y,OX
2690-95956,HOWR,2690-95956,WB,X
2690-95957,HOWR,2690-95957,X,-
2690-95960,HOWR,2690-95960,XR,B
2690-95961,HOWR,2690-95961,K,XY
2690-95964,HOWR,2690-95964,X,GR
2690-95965,HOWR,2690-95965,R,XB
2690-95969,HOWR,2690-95969,X,YP
2690-95972,HOWR,2690-95972,X,YP
2690-96071,HOWR,2690-96071,WX,B
2690-96083,HOWR,2690-96083,X,KB
2690-96084,HOWR,2690-96084,Y,XG
2690-96085,HOWR,2690-96085,MW,X
2690-96111,HOWR,2690-96111,X,WB
2690-96144,HOWR,2690-96144,BX,B
2690-96145,HOWR,2690-96145,KX,X
2690-96146,HOWR,2690-96146,BB,X
2690-96154,HOWR,2690-96154,X,GG
2690-96160,HOWR,2690-96160,UNK,X
2690-96163,HOWR,2690-96163,G,XK
2690-96164,HOWR,2690-96164,X,YK
2690-96174,HOWR,2690-96174,BR,X
2690-96178,HOWR,2690-96178,Y,RX
2690-96179,HOWR,2690-96179,OP,X
2690-96180,HOWR,2690-96180,YY,X
2690-96187,HOWR,2690-96187,K,XK
2690-96188,HOWR,2690-96188,R,XR
2690-96190,HOWR,2690-96190,RX,O
2690-96193,HOWR,2690-96193,X,RW
2690-96195,HOWR,2690-96195,O,XW
2690-96200,HOWR,2690-96200,X,WW
2710-25247,HOWR,2710-25247,Y,XO
2710-25952,HOWR,2710-25952,XO,O
2710-25953,HOWR,2710-25953,R,XB
2710-25965,HOWR,2710-25965,BG,X
2710-25972,HOWR,2710-25972,MX,R
2710-25977,HOWR,2710-25977,XK,M
2710-53610,HOWR,2710-53610,M,XG
2710-53611,HOWR,2710-53611,KG,X
2710-53612,HOWR,2710-53612,X,KY
2710-53615,HOWR,2710-53615,O,WX
2710-53620,HOWR,2710-53620,B,RX
2710-53621,HOWR,2710-53621,PX,X
2710-53623,HOWR,2710-53623,W,YX
2710-53638,HOWR,2710-53638,O,XM
2710-53643,HOWR,2710-53643,OK,X
2710-53661,HOWR,2710-53661,GY,X
2710-53664,HOWR,2710-53664,XG,R
2710-53667,HOWR,2710-53667,X,KR
2710-53669,HOWR,2710-53669,X,GG
2710-53684,HOWR,2710-53684,R,OX
2710-53688,HOWR,2710-53688,YP,X
2710-53690,HOWR,2710-53690,X,GB
2710-53692,HOWR,2710-53692,KX,O
2710-53694,HOWR,2710-53694,KY,X
2710-53696,HOWR,2710-53696,B,WX
2710-53708,HOWR,2710-53708,XB,R
2710-53710,HOWR,2710-53710,XR,R
2710-53711,HOWR,2710-53711,RW,X
2710-53721,HOWR,2710-53721,B,XR
2710-53731,HOWR,2710-53731,X,RR
2710-53740,HOWR,2710-53740,OK,X
2710-53741,HOWR,2710-53741,X,KY
2710-53751,HOWR,2710-53751,K,XB
2710-53752,HOWR,2710-53752,GY,X
2710-53761,HOWR,2710-53761,G,XM
2710-53762,HOWR,2710-53762,B,MX
2710-53765,HOWR,2710-53765,W,MX
2710-53766,HOWR,2710-53766,GG,X
2710-53775,HOWR,2710-53775,OW,X
2710-53778,HOWR,2710-53778,OW,X
2710-53779,HOWR,2710-53779,G,GX
2710-53782,HOWR,2710-53782,W,GX
2710-53785,HOWR,2710-53785,R,OX
2710-53800,HOWR,2710-53800,OW,X
2710-53801,HOWR,2710-53801,BK,X
2710-53802,HOWR,2710-53802,WX,O
2710-53933,HOWR,2710-53933,BG,X
2710-53939,HOWR,2710-53939,X,MG
2710-53947,HOWR,2710-53947,PX,B
2710-53948,HOWR,2710-53948,M,XR
2710-53951,HOWR,2710-53951,MX,G
2710-53953,HOWR,2710-53953,KX,M
2710-53954,HOWR,2710-53954,BX,W
2710-53955,HOWR,2710-53955,Y,OX
2710-53966,HOWR,2710-53966,X,WR
2710-53968,HOWR,2710-53968,G,RX
2710-53969,HOWR,2710-53969,O,XK
2710-53974,HOWR,2710-53974,G,XG
2710-53979,HOWR,2710-53979,K,XG
2710-53993,HOWR,2710-53993,YM,X
2710-53994,HOWR,2710-53994,RY,X
2710-53999,HOWR,2710-53999,WX,M
2710-54000,HOWR,2710-54000,OX,O
2710-54001,HOWR,2710-54001,G,RX
2710-54002,HOWR,2710-54002,RX,Y
2710-54037,HOWR,2710-54037,O,GX
2710-54056,HOWR,2710-54056,BX,P
2710-54057,HOWR,2710-54057,R,WX
2710-54068,HOWR,2710-54068,W,BX
2710-54071,HOWR,2710-54071,X,K
2710-54073,HOWR,2710-54073,X,WR
2710-54079,HOWR,2710-54079,-,KX
2710-54114,HOWR,2710-54114,X,WY
2710-54115,HOWR,2710-54115,OX,O
2710-54116,HOWR,2710-54116,WX,M
2710-54136,HOWR,2710-54136,BO,X
2710-54137,HOWR,2710-54137,XW,M
2710-54138,HOWR,2710-54138,PX,B
2710-54157,HOWR,2710-54157,R,BX
2710-54159,HOWR,2710-54159,XM,R
2710-54160,HOWR,2710-54160,YM,X
2710-54162,HOWR,2710-54162,BX,M
2710-54167,HOWR,2710-54167,WK,X
2710-54171,HOWR,2710-54171,K,XB
2710-54172,HOWR,2710-54172,B,MX
2710-54176,HOWR,2710-54176,RX,B
2710-54180,HOWR,2710-54180,W,MX
2710-54191,HOWR,2710-54191,MX,O
2710-54192,HOWR,2710-54192,XY,G
2710-54196,HOWR,2710-54196,K,KX
2710-54199,HOWR,2710-54199,X,MB
2710-54236,HOWR,2710-54236,X,WR
2710-54237,HOWR,2710-54237,OX,B
2710-54239,HOWR,2710-54239,XM,G
2710-54241,HOWR,2710-54241,GX,K
2710-54245,HOWR,2710-54245,MM,X
2710-54247,HOWR,2710-54247,X,GW
2710-54248,HOWR,2710-54248,-,XG
2710-54250,HOWR,2710-54250,MX,Y
2710-54258,HOWR,2710-54258,X,-
2710-54260,HOWR,2710-54260,XM,W
2710-54262,HOWR,2710-54262,YG,X
2710-54265,HOWR,2710-54265,O,WX
2710-54266,HOWR,2710-54266,GX,G
2710-54267,HOWR,2710-54267,X,WK
2710-54268,HOWR,2710-54268,O,XY
2710-54270,HOWR,2710-54270,R,XB
2710-54271,HOWR,2710-54271,G,MX
2710-54272,HOWR,2710-54272,X,GB
2710-54273,HOWR,2710-54273,G,OX
2710-54280,HOWR,2710-54280,XY,G
2710-54287,HOWR,2710-54287,MX,B
2710-54288,HOWR,2710-54288,K,XW
2710-54290,HOWR,2710-54290,X,Y
2710-54291,HOWR,2710-54291,R,MX
2710-54292,HOWR,2710-54292,XB,Y
2710-54293,HOWR,2710-54293,Y,XM
2710-54295,HOWR,2710-54295,YO,X
2710-54296,HOWR,2710-54296,XK,Y
2710-54298,HOWR,2710-54298,Y,MX
2710-54300,HOWR,2710-54300,R,MX
2710-54303,HOWR,2710-54303,YP,X
2710-54305,HOWR,2710-54305,PY,X
2710-54307,HOWR,2710-54307,G,XK
2710-54308,HOWR,2710-54308,X,BO
2710-54314,HOWR,2710-54314,M,RX
2710-54321,HOWR,2710-54321,OP,X
2710-54322,HOWR,2710-54322,X,RB
2710-54323,HOWR,2710-54323,PO,X
2710-54324,HOWR,2710-54324,GX,UNK
2710-54325,HOWR,2710-54325,X,OY
2710-54330,HOWR,2710-54330,RB,X
2710-54333,HOWR,2710-54333,X,PK
2710-54334,HOWR,2710-54334,X,YO
2710-54335,HOWR,2710-54335,X,PM
2710-54336,HOWR,2710-54336,X,BG
2710-54338,HOWR,2710-54338,OB,X
2710-54339,HOWR,2710-54339,PK,X
2710-54342,HOWR,2710-54342,PW,X
2710-54349,HOWR,2710-54349,X,BY
2710-54350,HOWR,2710-54350,OG,X
2710-54351,HOWR,2710-54351,X,RG
2710-54375,HOWR,2710-54375,X,KW
2710-54378,HOWR,2710-54378,XR,W
2710-54381,HOWR,2710-54381,M,YX
2710-54388,HOWR,2710-54388,GW,X
2710-54393,HOWR,2710-54393,XO,W
2710-54394,HOWR,2710-54394,R,XY
2710-58384,HOWR,2710-58384,XY,R
27100-54309,HOWR,27100-54309,WM,X
2720-99503,HOWR,2720-99503,RX,B
2720-99506,HOWR,2720-99506,R,XM
2720-99507,HOWR,2720-99507,KX,K
2720-99515,HOWR,2720-99515,Y,BX
2720-99516,HOWR,2720-99516,XK,O
2720-99519,HOWR,2720-99519,X,BW
2720-99520,HOWR,2720-99520,R,WX
2720-99523,HOWR,2720-99523,B,RX
2720-99526,HOWR,2720-99526,K,KX
2720-99527,HOWR,2720-99527,R,YX
2720-99535,HOWR,2720-99535,WK,X
2720-99536,HOWR,2720-99536,R,XO
2720-99537,HOWR,2720-99537,XR,G
2720-99539,HOWR,2720-99539,MO,X
2720-99541,HOWR,2720-99541,X,GG
2720-99547,HOWR,2720-99547,G,WX
2720-99549,HOWR,2720-99549,X,KR
2720-99550,HOWR,2720-99550,WX,B
2720-99552,HOWR,2720-99552,X,RW
2720-99553,HOWR,2720-99553,G,XY
2720-99570,HOWR,2720-99570,B,XR
2720-99572,HOWR,2720-99572,WX,G
2720-99598,HOWR,2720-99598,Y,XB
2720-99605,HOWR,2720-99605,M,XG
2720-99606,HOWR,2720-99606,XG,B
2720-99611,HOWR,2720-99611,G,MX
2720-99612,HOWR,2720-99612,Y,KX
2720-99615,HOWR,2720-99615,Y,YX
2720-99616,HOWR,2720-99616,W,RX
2720-99627,HOWR,2720-99627,BP,X
2720-99629,HOWR,2720-99629,XM,B
2720-99632,HOWR,2720-99632,MX,B
2720-99633,HOWR,2720-99633,OX,W
2720-99638,HOWR,2720-99638,GP,X
2720-99643,HOWR,2720-99643,KR,X
2720-99644,HOWR,2720-99644,R,XB
2720-99645,HOWR,2720-99645,YG,X
2720-99646,HOWR,2720-99646,OP,X
2720-99647,HOWR,2720-99647,BX,O
2720-99648,HOWR,2720-99648,XG,W
2720-99649,HOWR,2720-99649,MX,B
2720-99650,HOWR,2720-99650,XO,K
2720-99656,HOWR,2720-99656,BM,X
2720-99659,HOWR,2720-99659,BX,Y
2720-99661,HOWR,2720-99661,Y,GX
2720-99668,HOWR,2720-99668,XY,O
2720-99670,HOWR,2720-99670,M,GX
2720-99674,HOWR,2720-99674,Y,RX
2720-99677,HOWR,2720-99677,X,WM
2720-99678,HOWR,2720-99678,B,BX
2720-99683,HOWR,2720-99683,XG,G
2720-99684,HOWR,2720-99684,KX,W
2720-99685,HOWR,2720-99685,XM,Y
2720-99686,HOWR,2720-99686,XY,W
2720-99692,HOWR,2720-99692,B,XK
2720-99693,HOWR,2720-99693,X,GW
2720-99694,HOWR,2720-99694,W,OX
2730-24730,HOWR,2730-24730,G,XM
2730-24741,HOWR,2730-24741,XB,W
2730-24743,HOWR,2730-24743,OX,W
2730-24744,HOWR,2730-24744,B,X
2730-24745,HOWR,2730-24745,M,X
2730-24746,HOWR,2730-24746,P,X
2730-24747,HOWR,2730-24747,G,X
2730-24748,HOWR,2730-24748,O,X
2730-24749,HOWR,2730-24749,R,X
2730-24751,HOWR,2730-24751,XR,O
2730-24753,HOWR,2730-24753,M,XW
2730-24761,HOWR,2730-24761,OG,X
2730-24763,HOWR,2730-24763,Y,XK
2730-24765,HOWR,2730-24765,X,RY
2730-24777,HOWR,2730-24777,PG,X
2730-24973,HOWR,2730-24973,RX,R
2730-24976,HOWR,2730-24976,YY,X
2730-24988,HOWR,2730-24988,G,WX
2730-24989,HOWR,2730-24989,B,XG
2730-24992,HOWR,2730-24992,K,XY
2730-26281,HOWR,2730-26281,-,PX
2730-26284,HOWR,2730-26284,GO,X
2730-26286,HOWR,2730-26286,Y,YX
2730-26294,HOWR,2730-26294,O,XK
2730-26299,HOWR,2730-26299,KX,-
2730-26314,HOWR,2730-26314,R,XP
2730-26319,HOWR,2730-26319,K,GX
2730-26355,HOWR,2730-26355,O,PX
2730-26356,HOWR,2730-26356,R,XG
2730-26358,HOWR,2730-26358,K,XG
2730-26359,HOWR,2730-26359,G,XO
2730-26362,HOWR,2730-26362,R,XY
2730-26386,HOWR,2730-26386,B,XM
2730-26393,HOWR,2730-26393,W,XW
2730-26394,HOWR,2730-26394,MM,X
2730-26395,HOWR,2730-26395,B,XW
2730-26397,HOWR,2730-26397,BX,R
2730-26403,HOWR,2730-26403,YX,B
2730-26404,HOWR,2730-26404,R,BX
2730-26408,HOWR,2730-26408,X,GG
2730-26413,HOWR,2730-26413,GO,X
2730-26417,HOWR,2730-26417,O,XY
2730-26422,HOWR,2730-26422,W,XG
2730-26427,HOWR,2730-26427,RY,X
2730-26428,HOWR,2730-26428,X,GM
2730-26429,HOWR,2730-26429,MX,W
2730-26430,HOWR,2730-26430,G,XB
2730-26431,HOWR,2730-26431,O,OX
2730-26438,HOWR,2730-26438,XW,K
2730-26439,HOWR,2730-26439,M,MX
2730-26440,HOWR,2730-26440,B,XY
2730-26443,HOWR,2730-26443,XB,K
2730-27501,HOWR,2730-27501,M,BX
2730-27514,HOWR,2730-27514,W,XG
2730-27515,HOWR,2730-27515,O,XK
2730-27519,HOWR,2730-27519,RW,X
2730-27520,HOWR,2730-27520,BX,G
2730-27521,HOWR,2730-27521,XR,R
2730-27523,HOWR,2730-27523,YX,B
2730-27524,HOWR,2730-27524,M,XM
2730-27527,HOWR,2730-27527,O,RX
2730-27528,HOWR,2730-27528,GX,W
2730-27529,HOWR,2730-27529,XM,R
2730-27531,HOWR,2730-27531,GB,X
2730-27532,HOWR,2730-27532,XB,Y
2730-27533,HOWR,2730-27533,RO,X
2730-27535,HOWR,2730-27535,MX,W
2730-27536,HOWR,2730-27536,XO,Y
2730-27548,HOWR,2730-27548,XW,Y
2730-27549,HOWR,2730-27549,X,OG
2730-27552,HOWR,2730-27552,WY,X
2730-27553,HOWR,2730-27553,XK,R
2730-27559,HOWR,2730-27559,BK,X
2730-27560,HOWR,2730-27560,XO,G
2730-27571,HOWR,2730-27571,BY,X
2730-27577,HOWR,2730-27577,BR,X
2750-34908,HOWR,2750-34908,X,YY
2750-34911,HOWR,2750-34911,GX,O
2750-34914,HOWR,2750-34914,PG,OX
2750-34915,HOWR,2750-34915,PO,X
2750-34924,HOWR,2750-34924,YP,X
2750-34930,HOWR,2750-34930,O,XY
2750-34934,HOWR,2750-34934,OX,Y
2750-34935,HOWR,2750-34935,R,XG
2750-34936,HOWR,2750-34936,X,BO
2750-34950,HOWR,2750-34950,YB,X
2750-34952,HOWR,2750-34952,B,GX
2750-34953,HOWR,2750-34953,Y,WX
2750-34956,HOWR,2750-34956,B,KX
2750-34961,HOWR,2750-34961,B,XG
2750-34962,HOWR,2750-34962,PB,X
2750-34966,HOWR,2750-34966,BO,X
2750-34968,HOWR,2750-34968,RX,R
2750-34969,HOWR,2750-34969,XW,O
2750-34970,HOWR,2750-34970,X,GY
2750-34971,HOWR,2750-34971,GX,B
2750-34975,HOWR,2750-34975,W,XR
2750-34978,HOWR,2750-34978,OR,X
2750-34979,HOWR,2750-34979,R,XW
2750-34983,HOWR,2750-34983,PX,G
2750-34985,HOWR,2750-34985,RX,G
2750-34996,HOWR,2750-34996,Y,PX
2750-34997,HOWR,2750-34997,XR,P
2750-35000,HOWR,2750-35000,X,MO
2750-35007,HOWR,2750-35007,RX,W
2750-35015,HOWR,2750-35015,RB,X
2750-35016,HOWR,2750-35016,X,OW
2750-35025,HOWR,2750-35025,RX,O
2750-35026,HOWR,2750-35026,K,YX
2750-35028,HOWR,2750-35028,G,RX
2750-35029,HOWR,2750-35029,W,XO
2750-35031,HOWR,2750-35031,X,BR
2750-35032,HOWR,2750-35032,X,MG
2750-35034,HOWR,2750-35034,Y,OX
2750-35043,HOWR,2750-35043,X,BG
2750-35046,HOWR,2750-35046,WO,X
2750-35049,HOWR,2750-35049,B,YX
2750-35051,HOWR,2750-35051,O,GX
2750-35052,HOWR,2750-35052,X,OO
2750-35056,HOWR,2750-35056,OX,B
2750-35060,HOWR,2750-35060,BG,X
2750-35061,HOWR,2750-35061,X,YO
2750-35062,HOWR,2750-35062,X,RB
2750-35063,HOWR,2750-35063,MX,G
2750-35064,HOWR,2750-35064,MW,X
2750-35066,HOWR,2750-35066,O,XG
2750-35067,HOWR,2750-35067,OX,G
2750-35075,HOWR,2750-35075,X,GB
2750-35077,HOWR,2750-35077,X,GM
2750-35078,HOWR,2750-35078,Y,XO
2750-35079,HOWR,2750-35079,KX,P
2750-35081,HOWR,2750-35081,GX,G
2750-35082,HOWR,2750-35082,RX,YX
2750-35086,HOWR,2750-35086,G,XR
2750-35088,HOWR,2750-35088,G,XG
2750-35098,HOWR,2750-35098,OB,X
2750-35110,HOWR,2750-35110,X,BY
2750-35117,HOWR,2750-35117,X,RY
2750-35118,HOWR,2750-35118,GO,X
2750-35125,HOWR,2750-35125,XY,K
2750-35141,HOWR,2750-35141,YX,Y
2750-35146,HOWR,2750-35146,X,WB
2750-35148,HOWR,2750-35148,MG,X
2750-35701,HOWR,2750-35701,M,WX
2750-41304,HOWR,2750-41304,RR,X
2750-41347,HOWR,2750-41347,XW,G
2750-41348,HOWR,2750-41348,BX,O
2750-41349,HOWR,2750-41349,OG,X
2750-41350,HOWR,2750-41350,W,XM
2750-41351,HOWR,2750-41351,-,X
2750-41357,HOWR,2750-41357,XO,Y
2750-41358,HOWR,2750-41358,RX,G
2750-41359,HOWR,2750-41359,Y,XW
2750-41363,HOWR,2750-41363,W,XM
2750-41370,HOWR,2750-41370,X,OM
2750-41371,HOWR,2750-41371,X,WY
2750-41373,HOWR,2750-41373,X,WW
2750-41374,HOWR,2750-41374,XW,O
2750-41375,HOWR,2750-41375,KX,G
2750-41377,HOWR,2750-41377,RR,X
2750-41379,HOWR,2750-41379,XR,B
2750-41380,HOWR,2750-41380,X,BY
2750-41381,HOWR,2750-41381,YX,R
2750-41382,HOWR,2750-41382,X,GO
2750-41392,HOWR,2750-41392,M,WX
2750-41394,HOWR,2750-41394,O,RX
2750-41396,HOWR,2750-41396,O,BX
2750-41397,HOWR,2750-41397,-,X
2750-41399,HOWR,2750-41399,X,GG
2750-41403,HOWR,2750-41403,R,RX
2750-41405,HOWR,2750-41405,O,YX
2750-41406,HOWR,2750-41406,WR,X
2750-41410,HOWR,2750-41410,X,GY
