birdID,species,bandNumber,colorComboL,colorComboR
1212-36670,AMRO,1212-36670,W,WX
1212-36672,AMRO,1212-36672,XW,G
1212-36673,AMRO,1212-36673,OW,X
1212-36674,AMRO,1212-36674,XO,Y
1212-36675,AMRO,1212-36675,XG,G
1212-36676,AMRO,1212-36676,OR,X
1212-36677,AMRO,1212-36677,XB,Y
1212-36678,AMRO,1212-36678,YX,B
1212-36679,AMRO,1212-36679,M,XM
1212-36680,AMRO,1212-36680,RO,X
1212-36681,AMRO,1212-36681,Y,KX
1212-36682,AMRO,1212-36682,K,MX
1212-36683,AMRO,1212-36683,XM,R
1212-36685,AMRO,1212-36685,XW,Y
1212-36686,AMRO,1212-36686,XO,G
1212-36688,AMRO,1212-36688,OM,X
1212-36689,AMRO,1212-36689,X,WB
1212-36691,AMRO,1212-36691,X,BB
1212-36692,AMRO,1212-36692,KK,X
1212-36693,AMRO,1212-36693,M,MX
1212-36694,AMRO,1212-36694,G,MX
1212-36695,AMRO,1212-36695,BX,Y
1212-36696,AMRO,1212-36696,XR,R
1212-36697,AMRO,1212-36697,KX,W
1212-36698,AMRO,1212-36698,B,OX
1212-49301,AMRO,1212-49301,B,XY
1212-52835,AMRO,1212-52835,X,OM
1212-52836,AMRO,1212-52836,RX,B
1212-52837,AMRO,1212-52837,XB,R
1212-52839,AMRO,1212-52839,XR,G
1212-52840,AMRO,1212-52840,OY,X
1212-52841,AMRO,1212-52841,X,GG
1212-52842,AMRO,1212-52842,B,XR
1212-52843,AMRO,1212-52843,R,BX
1212-52844,AMRO,1212-52844,XO,B
1212-52845,AMRO,1212-52845,M,XG
1212-52846,AMRO,1212-52846,OX,O
1212-52847,AMRO,1212-52847,O,XM
1212-52848,AMRO,1212-52848,X,RG
1212-52850,AMRO,1212-52850,X,WO
1212-52851,AMRO,1212-52851,KX,K
1212-52852,AMRO,1212-52852,WX,M
1212-52853,AMRO,1212-52853,RK,X
1212-52854,AMRO,1212-52854,X,MB
1212-52855,AMRO,1212-52855,YX,K
1212-52856,AMRO,1212-52856,O,WX
1212-52857,AMRO,1212-52857,X,WY
1212-52858,AMRO,1212-52858,R,XM
1212-52860,AMRO,1212-52860,GX,W
1212-52861,AMRO,1212-52861,Y,GX
1212-52862,AMRO,1212-52862,XO,O
1212-52863,AMRO,1212-52863,BK,X
1212-52864,AMRO,1212-52864,MK,X
1212-52865,AMRO,1212-52865,OX,W
1212-52866,AMRO,1212-52866,MX,W
1212-52867,AMRO,1212-52867,W,XK
1212-52896,AMRO,1212-52896,YM,X
1212-52898,AMRO,1212-52898,R,XK
1212-52899,AMRO,1212-52899,W,MX
1212-52900,AMRO,1212-52900,K,XB
1232-87901,AMRO,1232-87901,G,XM
1232-87902,AMRO,1232-87902,OK,X
1232-87903,AMRO,1232-87903,RK,X
1232-87904,AMRO,1232-87904,X,WO
1232-87906,AMRO,1232-87906,-,X
1232-87907,AMRO,1232-87907,-,X
1232-87908,AMRO,1232-87908,X,-
1232-87909,AMRO,1232-87909,X,-
1232-87910,AMRO,1232-87910,-,X
1232-87911,AMRO,1232-87911,XO,W
1232-87912,AMRO,1232-87912,K,XK
1232-87913,AMRO,1232-87913,O,XO
1232-87914,AMRO,1232-87914,WR,X
1232-87917,AMRO,1232-87917,BX,W
1232-87918,AMRO,1232-87918,-,X
1232-87919,AMRO,1232-87919,M,XY
1232-87920,AMRO,1232-87920,M,XR
1232-87921,AMRO,1232-87921,GX,Y
1232-87922,AMRO,1232-87922,X,KM
1232-87923,AMRO,1232-87923,O,YX
1232-87924,AMRO,1232-87924,GO,X
1232-87925,AMRO,1232-87925,XO,K
1232-87926,AMRO,1232-87926,O,OX
1232-87927,AMRO,1232-87927,-,X
1232-87928,AMRO,1232-87928,XW,M
1232-87929,AMRO,1232-87929,K,RX
1232-87930,AMRO,1232-87930,W,YX
1232-87931,AMRO,1232-87931,XM,M
1232-87932,AMRO,1232-87932,WX,W
1232-87933,AMRO,1232-87933,MX,K
1232-87934,AMRO,1232-87934,YX,O
1232-87935,AMRO,1232-87935,XR,W
1232-87936,AMRO,1232-87936,XO,M
1232-87937,AMRO,1232-87937,M,KX
1232-87938,AMRO,1232-87938,W,XK
1232-87939,AMRO,1232-87939,-,X
1232-87940,AMRO,1232-87940,W,XK
1232-87961,AMRO,1232-87961,X,-
1232-87962,AMRO,1232-87962,-,X
1232-87968,AMRO,1232-87968,X,WY
1232-87969,AMRO,1232-87969,X,-
1232-87970,AMRO,1232-87970,YM,X
1232-87972,AMRO,1232-87972,X,RG
1232-87974,AMRO,1232-87974,OX,O
1232-87975,AMRO,1232-87975,K,KX
1232-87976,AMRO,1232-87976,MY,X
1232-87977,AMRO,1232-87977,KO,X
1232-87978,AMRO,1232-87978,MX,O
1232-87979,AMRO,1232-87979,R,YX
1232-87980,AMRO,1232-87980,XR,O
1232-87981,AMRO,1232-87981,K,XY
1232-87983,AMRO,1232-87983,K,XG
1232-87984,AMRO,1232-87984,G,YX
1232-87985,AMRO,1232-87985,G,XR
1232-87987,AMRO,1232-87987,RX,Y
1232-87988,AMRO,1232-87988,K,YX
1232-87989,AMRO,1232-87989,B,XG
1232-87995,AMRO,1232-87995,G,OX
1232-87999,AMRO,1232-87999,WW,X
1232-88000,AMRO,1232-88000,OX,R
1232-88101,AMRO,1232-88101,WW,RX
1232-88301,AMRO,1232-88301,X,WB
1232-88701,AMRO,1232-88701,YG,X
1232-88702,AMRO,1232-88702,MX,B
1232-88703,AMRO,1232-88703,K,BX
1232-88704,AMRO,1232-88704,WW,X
1232-88705,AMRO,1232-88705,BX,G
1232-88706,AMRO,1232-88706,MM,X
1232-94701,AMRO,1232-94701,GY,X
1232-94702,AMRO,1232-94702,OX,G
1232-94704,AMRO,1232-94704,Y,PX
1232-94705,AMRO,1232-94705,X,BB
1232-94706,AMRO,1232-94706,X,WW
1232-94709,AMRO,1232-94709,OM,X
1232-94710,AMRO,1232-94710,BX,G
1232-94711,AMRO,1232-94711,YK,X
1232-94712,AMRO,1232-94712,G,XM
1232-94713,AMRO,1232-94713,XB,P
1232-94714,AMRO,1232-94714,BB,X
1232-94715,AMRO,1232-94715,KX,W
1232-94716,AMRO,1232-94716,X,BK
1232-94717,AMRO,1232-94717,WB,X
1232-94718,AMRO,1232-94718,W,XY
1232-94719,AMRO,1232-94719,R,XP
1232-94720,AMRO,1232-94720,X,YO
1232-94721,AMRO,1232-94721,X,-
1232-94722,AMRO,1232-94722,X,M
1232-94723,AMRO,1232-94723,MX,R
1232-94724,AMRO,1232-94724,G,XB
1232-94725,AMRO,1232-94725,WX,W
1232-94726,AMRO,1232-94726,YX,O
1232-94727,AMRO,1232-94727,PP,X
1232-94728,AMRO,1232-94728,XW,R
1232-94729,AMRO,1232-94729,X,BY
1232-94730,AMRO,1232-94730,M,XY
1232-94731,AMRO,1232-94731,R,OX
1232-94732,AMRO,1232-94732,W,XK
1232-94733,AMRO,1232-94733,MX,P
1232-94735,AMRO,1232-94735,PX,G
1232-94742,AMRO,1232-94742,X,PW
1232-94743,AMRO,1232-94743,X,KW
1232-94745,AMRO,1232-94745,M,YX
1232-94749,AMRO,1232-94749,Y,XY
1232-94752,AMRO,1232-94752,Y,RX
1232-94753,AMRO,1232-94753,-,X
1232-94754,AMRO,1232-94754,P,BX
1232-94768,AMRO,1232-94768,K,XP
1232-94770,AMRO,1232-94770,XP,R
1232-94771,AMRO,1232-94771,Y,X
1232-94772,AMRO,1232-94772,P,KX
1232-94794,AMRO,1232-94794,XG,P
12329-64707,AMRO,12329-64707,X,WB
1271-42500,AMRO,1271-42500,RX,O
1272-42363,AMRO,1272-42363,R,OX
1272-42401,AMRO,1272-42401,P,XP
1272-42402,AMRO,1272-42402,P,WX
1272-42403,AMRO,1272-42403,X,OO
1272-42404,AMRO,1272-42404,B,XP
1272-42405,AMRO,1272-42405,Y,PX
1272-42406,AMRO,1272-42406,X,RP
1272-42407,AMRO,1272-42407,X,BB
1272-42408,AMRO,1272-42408,XR,P
1272-42409,AMRO,1272-42409,X,MP
1272-42410,AMRO,1272-42410,R,BX
1272-42411,AMRO,1272-42411,WM,X
1272-42412,AMRO,1272-42412,PK,X
1272-42413,AMRO,1272-42413,XY,P
1272-42415,AMRO,1272-42415,X,-
1272-42416,AMRO,1272-42416,XG,W
1272-42417,AMRO,1272-42417,X,PP
1272-42418,AMRO,1272-42418,XY,W
1272-42421,AMRO,1272-42421,X,PM
1272-42422,AMRO,1272-42422,P,XO
1272-42423,AMRO,1272-42423,P,XP
1272-42424,AMRO,1272-42424,K,RX
1272-42425,AMRO,1272-42425,X,RG
1272-42426,AMRO,1272-42426,PR,X
1272-42427,AMRO,1272-42427,W,YX
1272-42433,AMRO,1272-42433,B,WX
1272-42436,AMRO,1272-42436,X,RR
1272-42437,AMRO,1272-42437,GY,X
1272-42444,AMRO,1272-42444,G,XM
1272-42445,AMRO,1272-42445,W,MX
1272-42446,AMRO,1272-42446,WM,X
1272-42447,AMRO,1272-42447,B,MX
1272-42448,AMRO,1272-42448,W,YX
1272-42453,AMRO,1272-42453,X,X
1272-42456,AMRO,1272-42456,RG,X
1272-42457,AMRO,1272-42457,X,KY
1272-42460,AMRO,1272-42460,WX,M
1272-42461,AMRO,1272-42461,K,XB
1272-42463,AMRO,1272-42463,GG,X
1272-42465,AMRO,1272-42465,X,OM
1272-42466,AMRO,1272-42466,RG,X
1272-42472,AMRO,1272-42472,G,YX
1272-42473,AMRO,1272-42473,XO,B
1272-42475,AMRO,1272-42475,X,WO
1272-42481,AMRO,1272-42481,OX,O
1272-42482,AMRO,1272-42482,M,XG
1272-42483,AMRO,1272-42483,MX,O
1272-42485,AMRO,1272-42485,X,UNK
1272-42486,AMRO,1272-42486,BP,X
1272-42487,AMRO,1272-42487,W,XR
1272-42488,AMRO,1272-42488,XP,B
1272-42490,AMRO,1272-42490,W,XP
1272-42492,AMRO,1272-42492,XG,P
1272-42493,AMRO,1272-42493,YW,X
1272-42494,AMRO,1272-42494,X,WW
1272-42495,AMRO,1272-42495,P,XG
1272-42497,AMRO,1272-42497,PG,X
1272-42498,AMRO,1272-42498,KX,R
1272-42499,AMRO,1272-42499,OX,K
1272-43001,AMRO,1272-43001,-,X
1272-43002,AMRO,1272-43002,X,-
1272-43004,AMRO,1272-43004,XY,W
1272-43006,AMRO,1272-43006,KX,O
1272-43007,AMRO,1272-43007,BX,B
1272-43009,AMRO,1272-43009,BM,X
1272-43010,AMRO,1272-43010,BX,R
1272-43011,AMRO,1272-43011,KX,R
1272-43012,AMRO,1272-43012,Y,XM
1272-43013,AMRO,1272-43013,W,RX
1272-43014,AMRO,1272-43014,M,GX
1272-43015,AMRO,1272-43015,MY,X
1272-43016,AMRO,1272-43016,XW,R
1272-43017,AMRO,1272-43017,OX,R
1272-43018,AMRO,1272-43018,X,BY
1272-43021,AMRO,1272-43021,B,BX
1272-43022,AMRO,1272-43022,XO,R
1272-43029,AMRO,1272-43029,X,BP
1272-43030,AMRO,1272-43030,X,BP
1272-43031,AMRO,1272-43031,X,WO
1272-43032,AMRO,1272-43032,KX,B
1272-43033,AMRO,1272-43033,X,BP
1272-43034,AMRO,1272-43034,X,RR
1272-43035,AMRO,1272-43035,P,WX
1272-43036,AMRO,1272-43036,XR,P
1272-43037,AMRO,1272-43037,XY,P
1272-43038,AMRO,1272-43038,RX,O
1272-43039,AMRO,1272-43039,R,PX
1272-43040,AMRO,1272-43040,OK,X
1272-43041,AMRO,1272-43041,WW,X
1272-43042,AMRO,1272-43042,X,YY
1272-43043,AMRO,1272-43043,X,OY
1272-43044,AMRO,1272-43044,YR,X
1272-43045,AMRO,1272-43045,GG,X
1272-43046,AMRO,1272-43046,XG,Y
1272-43048,AMRO,1272-43048,P,OX
1272-43049,AMRO,1272-43049,X,-
1272-43050,AMRO,1272-43050,X,GP
1272-43051,AMRO,1272-43051,Y,XK
1272-43052,AMRO,1272-43052,W,KX
1272-43053,AMRO,1272-43053,X,KR
1272-43054,AMRO,1272-43054,XY,G
