site,date,observerEnc,encounterType,bandNumber,rsLong,rsLat
DOPLJANMA1,6/6/2014,NA,Resight-participant,121252856,NA,NA
DOPLJANMA1,6/6/2014,NA,Resight-participant,256186695,NA,NA
BENNBILMA1,6/8/2014,NA,Resight-participant,237104311,NA,NA
BENNBILMA1,6/8/2014,NA,Resight-participant,256186612,NA,NA
CLAYBRYMA1,6/11/2014,NA,Resight-technician,269087917,NA,NA
DOPLJANMA1,6/11/2014,NA,Resight-participant,121252896,NA,NA
SINIKRIMA1,6/11/2014,NA,Resight-technician,269087732,NA,NA
CLAYBRYMA1,6/12/2014,NA,Resight-participant,272099521,NA,NA
DOPLJANMA1,6/12/2014,NA,Resight-participant,121252856,NA,NA
CANNANNMA1,6/13/2014,NA,Resight-participant,272099515,NA,NA
WHELGWEMA1,6/14/2014,NA,Resight-technician,269087708,NA,NA
BENNBILMA1,6/15/2014,NA,Resight-participant,269087718,NA,NA
HODGBENMA1,6/17/2014,NA,Resight-participant,269087894,NA,NA
BENNBILMA1,6/19/2014,NA,Resight-participant,273027524,NA,NA
BENNBILMA1,6/19/2014,NA,Resight-participant,273027523,NA,NA
BENNBILMA1,6/19/2014,NA,Resight-participant,273027522,NA,NA
BENNBILMA1,6/19/2014,NA,Resight-participant,237104391,NA,NA
BENNBILMA1,6/19/2014,NA,Resight-participant,265117145,NA,NA
BENNBILMA1,6/19/2014,NA,Resight-participant,265117146,NA,NA
BENNBILMA1,6/19/2014,NA,Resight-participant,265117147,NA,NA
BENNBILMA1,6/19/2014,NA,Resight-participant,273027525,NA,NA
BENNBILMA1,6/19/2014,NA,Resight-participant,273027526,NA,NA
LANGPETMA1,6/19/2014,NA,Resight-technician,269087918,NA,NA
JORGJANMA1,6/20/2014,NA,Resight-technician,256186631,NA,NA
JORGJANMA1,6/24/2014,NA,Resight-participant,256186631,NA,NA
GRIFRACMA1,6/25/2014,NA,Resight-participant,189111072,NA,NA
HIGGBETMA1,7/2/2014,NA,Resight-participant,265117119,NA,NA
BENNBILMA1,7/10/2014,NA,Resight-participant,265117147,NA,NA
