hub,site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,featherID,attachmentID,rsLong,rsLat,notesEnc
Springfield,HAYEROBMA1,6/23/2012,,Band,SOSP,2571-83009,"R/O,A",AHY,M,CP,NULL,20.8,62,60,21.6,NULL,,,, 
Springfield,WHELGWEMA1,6/23/2012,,Band,HOWR,2690-87823,"W,P/A",AHY,M,CP,NULL,10,54,42,18,NULL,,,, 
Springfield,WHELGWEMA1,6/23/2012,NA,Resight-participant,HOWR,269087823,"W,P/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.43289,42.3801,"rsNeighbor BBL, 7 Bray Court, Pelham, MA"
Springfield,LATHJANMA1,6/24/2012,,Band,GRCA,2531-91134,"Y,BK/A",AHY,M,CP,NULL,34.5,92,95,27.1,NULL,,,, 
Springfield,WARRPAIMA1,6/24/2012,,Band,AMRO,1212-36642,"A/Y,P",AHY,M,CP,NULL,85,125,95,35.6,NULL,,,, 
Springfield,LEWASUSMA1,6/25/2012,,Band,AMRO,1212-36667,"BU,A/O",AHY,F,BP,NULL,75.5,127,83,31.6,NULL,,,, 
Springfield,LEWASUSMA1,6/25/2012,,Band,NOCA,2531-91135,"G/A,W",AHY,F,BP,NULL,43.1,88,92,23.1,NULL,,,, 
Springfield,LEWASUSMA1,6/25/2012,,Band,NOCA,2531-91136,"R/W,A",AHY,F,BP,NULL,39.5,90,90,24.1,NULL,,,, 
Springfield,GRIFRACMA1,6/26/2012,,Band,AMRO,1212-36643,"BU,P/A",AHY,M,CP,NULL,73,129,94,32.7,NULL,,,, 
Springfield,GRIFRACMA1,6/26/2012,,Band,AMRO,1212-36644,"G/Y,A",HY,U,J,NULL,70,123,91,32.9,NULL,,,, 
Springfield,GRIFRACMA1,6/26/2012,,Band,BCCH,2690-87824,"W,Y/A",AHY,F,BP,NULL,11,64,57,15.5,NULL,,,, 
Springfield,LAPPHENMA1,6/28/2012,,Band,GRCA,2531-91138,"Y/A,BU",AHY,M,CP,NULL,NULL,89,90,28,NULL,,,, 
Springfield,LAPPHENMA1,6/28/2012,,Band,GRCA,2531-91137,"Y/A,R",AHY,F,BP,NULL,NULL,87,91,25.7,NULL,,,, 
Springfield,LAPPHENMA1,6/28/2012,,Band,HOWR,2690-87927,"O/W,A",AHY,M,CP,NULL,NULL,57,45,18.5,NULL,,,, 
Springfield,ZIMMBOBMA1,6/29/2012,,Band,GRCA,1891-11016,"W,P/A",AHY,M,CP,NULL,36,95,97,29,NULL,,,, 
Springfield,RINADAVMA1,6/29/2012,,Band,AMRO,1212-36668,"A,O/G",AHY,M,CP,NULL,76.91,130,98,34.3,NULL,,,, 
Springfield,RINADAVMA1,6/29/2012,,Band,BCCH,2690-87928,"A/BU,Y",HY,U,J,NULL,9.96,60,59,15.8,NULL,,,, 
Springfield,RINADAVMA1,6/29/2012,,Band,BCCH,2690-87929,"A/P,R",AHY,F,BP,NULL,11.11,65,58,16.4,NULL,,,, 
Springfield,WOODSANMA1,6/30/2012,,Band,AMRO,1212-36645,"W/P,A",AHY,M,CP,NULL,79,126,96,33.6,NULL,,,, 
Springfield,WOODSANMA1,6/30/2012,,Band,HOWR,2690-87825,"G/Y,A",AHY,M,CP,NULL,11,51,51,41,NULL,,,, 
Springfield,BRODDORMA1,6/30/2012,,Band,BCCH,2690-87930,"A/W,Y",AHY,F,BP,NULL,9.64,60,57,16.6,NULL,,,, 
Springfield,BRODDORMA1,6/30/2012,,Band,BCCH,2690-87931,"P,P/A",AHY,F,BP,NULL,11.55,65,60,17,NULL,,,, 
Springfield,BRODDORMA1,6/30/2012,,Band,GRCA,2531-91139,"BK/R,A",HY,U,J,NULL,36.46,91,82,26.6,NULL,,,, 
Springfield,DELUBILMA1,7/1/2012,NA,Resight-participant,HOWR,269087819,"A,R/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,GRUBBECMA1,7/2/2012,,Band,AMRO,1212-36646,"BU,W/A",SY,F,BP,NULL,83,123,94,32.7,NULL,,,, 
Springfield,DELUBILMA1,7/2/2012,NA,Resight-participant,HOWR,269087820,"A,BK/Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,HILLSALMA1,7/3/2012,,Band,BCCH,2690-87826,"O/BK,A",AHY,F,BP,NULL,10,61,58,17.1,NULL,,,, 
Springfield,HILLSALMA1,7/3/2012,,Band,BCCH,2690-87827,"W,P/A",AHY,F,BP,NULL,11,64,59,16.4,NULL,,,, 
Springfield,HILLSALMA1,7/3/2012,,Band,GRCA,1891-11018,"G/G,A",AHY,F,BP,NULL,39,94,99,28.7,NULL,,,, 
Springfield,HILLSALMA1,7/3/2012,,Band,GRCA,1891-11017,"G/Y,A",AHY,M,CP,NULL,37,87,89,27.7,NULL,,,, 
Springfield,HILLSALMA1,7/3/2012,,Band,NOCA,1891-11019,"W,Y/A",AHY,M,CP,NULL,40,92,95,22.4,NULL,,,, 
Springfield,SURNSCOMA1,7/4/2012,,Band,BCCH,2690-87932,"G/A,W",SY,F,BP,NULL,9.18,62,61,16.7,NULL,,,, 
Springfield,DROLBARMA1,7/5/2012,,Band,BCCH,2690-87933,"O/W,A",HY,U,J,NULL,12.4,68,66,17.2,NULL,,,, 
Springfield,MALTELIMA1,7/6/2012,,Band,AMRO,1212-36669,"P,A/R",HY,U,J,NULL,72.28,126,101,33.5,NULL,,,, 
Springfield,MALTELIMA1,7/6/2012,,Band,AMRO,1212-36670,"W,W/A",HY,U,J,NULL,78.8,135,101,33.1,NULL,,,, 
Springfield,MALTELIMA1,7/6/2012,,Band,BCCH,2690-87934,"O,A/BU",HY,U,J,NULL,10.6,64,60,15.4,NULL,,,, 
Springfield,MALTELIMA1,7/6/2012,,Band,NOCA,2531-91140,"BU/Y,A",AHY,F,BP,NULL,49.68,90,95,24.5,NULL,,,, 
Springfield,BAKENANMA1,7/8/2012,,Band,BCCH,2690-87830,"BU,P/A",AHY,M,CP,NULL,12,66,60,18.2,NULL,,,, 
Springfield,BAKENANMA1,7/8/2012,,Band,BCCH,2690-87828,"G/G,A",AHY,F,BP,NULL,11,65,62,17,NULL,,,, 
Springfield,BAKENANMA1,7/8/2012,,Band,BCCH,2690-87831,"G/Y,A",SY,F,BP,NULL,10,63,61,16.1,NULL,,,, 
Springfield,BAKENANMA1,7/8/2012,,Band,GRCA,1891-11020,"R/BK,A",AHY,M,CP,NULL,34,87,88,27.7,NULL,,,, 
Springfield,BAKENANMA1,7/8/2012,,Band,HOWR,2690-87829,"W/P,A",AHY,M,CP,NULL,11,49,42,17.1,NULL,,,, 
Springfield,ROMANICMA1,7/8/2012,,Band,BCCH,2690-87935,"A,O/G",HY,U,J,NULL,11.29,63,59,16.3,NULL,,,, 
Springfield,ROMANICMA1,7/8/2012,,Band,BCCH,2690-87936,"Y/A,P",AHY,F,BP,NULL,11.69,66,61,16.5,NULL,,,, 
Springfield,ROMANICMA1,7/8/2012,,Band,NOMO,1212-36671,"O,R/A",AHY,M,CP,NULL,49.19,110,121,33.6,NULL,,,, 
Springfield,HALLJENMA1,7/9/2012,,Band,AMRO,1212-36647,"BU,R/A",AHY,F,BP,NULL,81,125,96,31.4,NULL,,,, 
Springfield,HALLJENMA1,7/9/2012,,Band,SOSP,2291-44299,"O,A/G",AHY,M,CP,NULL,21,64,66,21.5,NULL,,,, 
Springfield,LAMBJANMA1,7/10/2012,,Band,AMRO,1212-36672,"A/W,G",AHY,F,BP,NULL,82.2,119,99,32,NULL,,,, 
Springfield,RICHALMA1,7/10/2012,,Band,BCCH,2690-87832,"R/BK,A",AHY,F,BP,NULL,11,58,57,16.2,NULL,,,, 
Springfield,LAMBJANMA1,7/10/2012,,Band,GRCA,2531-91142,"O,A/BK",HY,U,J,NULL,32.82,89,88,27.1,NULL,,,, 
Springfield,LAMBJANMA1,7/10/2012,,Band,GRCA,2531-91141,"R/W,A",AHY,F,BP,NULL,35.58,89,90,28,NULL,,,, 
Springfield,RICHALMA1,7/10/2012,,Band,SOSP,2291-44298,"O/BK,A",AHY,F,BP,NULL,20,64,62,21.2,NULL,,,, 
Springfield,LATHJANMA1,7/12/2012,,Band,AMRO,1212-36673,"O/W,A",AHY,M,CP,NULL,84.78,120,94,34.4,NULL,,,, 
Springfield,BENNBILMA1,7/12/2012,,Band,BCCH,2690-87835,"G,Y/A",U,U,U,NULL,10,67,63,16.3,NULL,,,, 
