siteID,date.Of.Encounter,ENCOUNTER.TYPE,bandNumber,age,sex,breedingCond,fat,mass,wing,tl,tarsus
BENNBILMA1,7/12/2012,Band,2690-87833,AHY,M,CP,NULL,10,64,60,15.5
BENNBILMA1,7/12/2012,Band,1891-11021,AHY,M,CP,NULL,43,92,96,23.3
SURNSCOMA1,7/13/2012,Band,1212-36674,AHY,M,CP,NULL,76.47,126,96,34
BESWMICMA1,7/13/2012,Band,1891-11022,AHY,M,CP,NULL,36,90,95,28.2
SLONJOHMA1,7/14/2012,Band,2690-87939,AHY,M,CP,NULL,11.66,65,65,16.3
SLONJOHMA1,7/14/2012,Band,2690-87941,SY,M,CP,NULL,11.81,67,68,16.6
SLONJOHMA1,7/14/2012,Band,2690-87938,SY,F,BP,NULL,10.41,67,60,16.8
SLONJOHMA1,7/14/2012,Band,2531-91144,AHY,M,CP,NULL,35.8,91,91,27
SLONJOHMA1,7/14/2012,Band,2531-91143,AHY,M,CP,NULL,32.26,91,94,28.3
ROSEJOSMA1,7/15/2012,Band,2571-83011,HY,U,J,NULL,19.25,56,47,22.5
SURNSANMA1,7/15/2012,Band,1891-11023,AHY,M,CP,NULL,41,97,101,28.6
SURNSANMA1,7/15/2012,Band,2690-87836,AHY,M,CP,NULL,10,49,40,18.8
BLONDAVMA1,7/16/2012,Band,1212-36648,SY,M,CP,NULL,68,125,96,32
SVECSTEMA1,7/17/2012,Band,2690-87943,AHY,F,BP,NULL,9.71,65,60,16.6
SVECSTEMA1,7/17/2012,Band,2690-87942,AHY,F,BP,NULL,10.22,66,59,17.1
SVECSTEMA1,7/17/2012,Band,2531-91145,AHY,F,BP,NULL,41.71,89,94,25.6
PAGEALLMA1,7/18/2012,Band,2690-87837,HY,U,J,NULL,11,60,48,17.6
WILSMARMA1,7/19/2012,Band,2690-87944,AHY,M,CP,NULL,10.74,66,63,17
ANDEHALMA1,7/19/2012,Band,1891-11024,AHY,M,CP,NULL,36,90,93,27.1
STIEDAVMA1,7/20/2012,Band,1212-36677,AHY,F,BP,NULL,75.93,126,92,32.6
STIEDAVMA1,7/20/2012,Band,1212-36675,HY,U,J,NULL,70.32,129,94,32.65
STIEDAVMA1,7/20/2012,Band,1212-36676,HY,U,J,NULL,74.7,128,96,32.3
STIEDAVMA1,7/20/2012,Band,2690-87948,HY,U,J,NULL,12.02,67,64,16.8
STIEDAVMA1,7/20/2012,Band,2690-87947,AHY,M,CP,NULL,11.64,66,61,18.1
STIEDAVMA1,7/20/2012,Band,2690-87946,HY,U,J,NULL,11.1,61,61,17.2
STIEDAVMA1,7/20/2012,Band,2571-83012,AHY,F,BP,NULL,19.17,59,47,21
STIEDAVMA1,7/20/2012,Band,2531-91146,AHY,M,CP,NULL,31.19,91,91,28.3
STIEDAVMA1,7/20/2012,Band,2531-91147,AHY,F,BP,NULL,37.49,89,90,23.5
STEPJANMA1,7/20/2012,Band,2291-44296,AHY,F,BP,NULL,20,64,52,22.1
STEPJANMA1,7/20/2012,Band,1891-11025,AHY,M,CP,NULL,38,88,89,27.5
STEPJANMA1,7/20/2012,Band,2291-44297,AHY,M,CP,NULL,22,70,70,23.1
BARDBARMA1,7/21/2012,Band,1212-36678,AHY,M,CP,NULL,84.6,130,97,33.6
MURPTHEMA1,7/21/2012,Band,1891-11029,AHY,F,BP,NULL,32.9,87,90,26.8
MURPTHEMA1,7/21/2012,Band,1891-11027,AHY,M,CP,NULL,36,91,95,28
MURPTHEMA1,7/21/2012,Band,1891-11026,AHY,F,BP,NULL,38.1,89,89,26.8
MURPTHEMA1,7/21/2012,Band,1891-11030,AHY,F,BP,NULL,38.6,84,83,28.5
MURPTHEMA1,7/21/2012,Band,1891-11028,AHY,F,BP,NULL,37,89,96,27.5
MURPTHEMA1,7/21/2012,Band,2690-87838,AHY,M,CP,NULL,11,51,40,16.3
BARDBARMA1,7/21/2012,Band,2690-87945,AHY,M,CP,NULL,10.83,50,42,16.1
BARDBARMA1,7/21/2012,Band,2531-91148,AHY,F,BP,NULL,40.97,91,96,24.5
MURPTHEMA1,7/21/2012,Band,2291-44295,AHY,F,BP,NULL,20,65,62,20.5
SHERALEMA1,7/22/2012,Band,2690-87949,HY,U,J,NULL,11.12,64,88,16
GAIEMELMA1,7/22/2012,Band,1891-11031,AHY,F,BP,NULL,39,90,95,28.9
GAIEMELMA1,7/22/2012,Band,2690-87839,AHY,F,BP,NULL,13,48,52,17.4
GAIEMELMA1,7/22/2012,Band,2291-44294,AHY,M,CP,NULL,22.8,68,68,21.3
GAIEMELMA1,7/22/2012,Band,2291-44292,AHY,M,CP,NULL,22,66,54,21
GAIEMELMA1,7/22/2012,Band,2291-44293,AHY,F,BP,NULL,20,63,60,20.6
CUSHTANMA1,7/24/2012,Band,1212-36679,AHY,M,CP,NULL,78.55,126,93,33.4
NORMMONMA1,7/24/2012,Band,2690-87840,SY,M,CP,NULL,12,61,61,16.5
CODYMELMA1,7/24/2012,Band,2571-83013,HY,U,J,NULL,19.09,59,50,22
CODYMELMA1,7/24/2012,Band,2571-83014,AHY,F,BP,NULL,17.14,60,48,21.8
NORMMONMA1,7/24/2012,Band,1891-11032,AHY,M,CP,NULL,36,90,94,28.9
CUSHTANMA1,7/24/2012,Band,2531-91149,AHY,M,CP,NULL,37.99,91,90,28.6
NORMMONMA1,7/24/2012,Band,1891-11033,AHY,M,CP,NULL,37,91,96,27.1
ROBIBEAMA1,7/25/2012,Band,2291-44290,HY,U,J,NULL,21,64,62,21.5
ROBIBEAMA1,7/25/2012,Band,2291-44291,AHY,M,CP,NULL,22,69,67,21.5
ROBIBEAMA1,7/25/2012,Band,2291-44289,AHY,M,CP,NULL,22,65,58,21
ROGEANDMA1,7/27/2012,Band,2690-87951,HY,U,J,NULL,11.98,65,62,16.9
ROGEANDMA1,7/27/2012,Band,2531-91150,HY,U,J,NULL,37.06,90,96,28.2
ROGEANDMA1,7/27/2012,Band,2531-91151,AHY,F,BP,NULL,35.18,86,91,29.8
ROGEANDMA1,7/27/2012,Band,2690-87953,AHY,F,BP,NULL,9.5,49,42,18.2
ROGEANDMA1,7/27/2012,Band,2690-87952,AHY,M,CP,NULL,11.23,49,43,17.5
ROGEANDMA1,7/27/2012,Band,2571-83015,AHY,M,CP,NULL,19.09,61,62,19.8
VALLMEGMA1,7/28/2012,Band,2531-91152,HY,U,J,NULL,38.83,90,96,28.3
BURGMARMA1,7/29/2012,Band,2531-91154,HY,U,J,NULL,35.25,88,89,28.1
BURGMARMA1,7/29/2012,Band,2531-91153,HY,U,J,NULL,34.75,90,88,29
BURGMARMA1,7/29/2012,Band,2531-91155,AHY,F,BP,NULL,36.82,86,90,28.6
CHARANDMA1,7/29/2012,Band,1891-11034,AHY,F,BP,NULL,40,89,96,24.1
LERMSUSMA1,5/14/2013,Band,1212-36649,ASY,M,CP,NULL,70.72,127,95,38.1
LERMSUSMA1,5/14/2013,Recap,2531-91104,ASY,M,CP,NULL,36.12,89,90,33
LERMSUSMA1,5/14/2013,Band,2531-91183,ASY,M,CP,NULL,35.69,91,93,32.5
LERMSUSMA1,5/14/2013,Band,1891-11036,ASY,M,CP,NULL,37.01,88,89,34.4
LERMSUSMA1,5/14/2013,Band,2531-91184,ASY,M,CP,NULL,37.32,90,94,37.1
LERMSUSMA1,5/14/2013,Recap,2531-91102,ASY,M,CP,NULL,46.41,92,99,21.7
LERMSUSMA1,5/14/2013,Recap,2571-83001,ASY,M,CP,NULL,23.33,67,66,30.3
HODGBENMA1,5/15/2013,Band,2690-87894,ASY,M,CP,NULL,11.06,64,64,20.8
HODGBENMA1,5/15/2013,Band,1891-11038,ASY,M,CP,NULL,36.13,90,92,32
HODGBENMA1,5/15/2013,Band,1891-11037,ASY,F,BP,NULL,43.65,92,96,28.3
LANGPETMA1,5/16/2013,Band,1212-36650,ASY,F,BP,NULL,92.08,126,98,43.6
LANGPETMA1,5/16/2013,Band,1212-36651,AHY,F,BP,NULL,87.33,121,88,37.6
DELUBILMA1,5/17/2013,Recap,1212-36641,U,U,U,NULL,NULL,NULL,NULL,NULL
DELUBILMA1,5/17/2013,Band,1212-36652,AHY,F,BP,NULL,80.58,124,99,44.6
DELUBILMA1,5/17/2013,Band,2531-91185,AHY,F,BP,NULL,48.54,91,99,31.5
KINGGEOMA1,5/20/2013,Band,1212-11431,ASY,F,CP,NULL,86.67,129,102,38.6
KINGGEOMA1,5/20/2013,Band,2690-87899,SY,M,CP,NULL,12.21,68,64,24.1
KINGGEOMA1,5/20/2013,Band,2690-87896,ASY,U,U,NULL,11.61,50,42,19.98
KINGGEOMA1,5/20/2013,Band,2690-87898,ASY,M,CP,NULL,11.89,51,47,22.5
KINGGEOMA1,5/20/2013,Band,2690-87897,ASY,F,BP,NULL,13.3,48,41,19
KINGGEOMA1,5/20/2013,Band,2690-87895,ASY,M,CP,NULL,10.33,49,35,18
KINGGEOMA1,5/20/2013,Band,1891-11039,AHY,M,CP,NULL,45.62,93,98,32.4
KINGGEOMA1,5/20/2013,Band,2291-44283,ASY,F,BP,NULL,21.06,63,62,29.1
KINGGEOMA1,5/20/2013,Band,2571-83033,ASY,M,CP,NULL,21.81,65,66,23.5
PRANSABMA1,5/21/2013,Band,1212-52900,AHY,F,BP,NULL,NULL,123,96,38
PRANSABMA1,5/21/2013,Band,1212-52899,ASY,F,BP,NULL,82.77,129,102,38.8
PRANSABMA1,5/21/2013,Band,2690-87704,SY,M,CP,NULL,11.87,66,60,22.7
PRANSABMA1,5/21/2013,Band,2561-86602,ASY,M,CP,NULL,36.5,93,98,34.8
PRANSABMA1,5/21/2013,Band,2561-86603,ASY,U,U,NULL,35.23,84,88,34.6
PRANSABMA1,5/21/2013,Band,2371-04305,ASY,M,CP,NULL,34.75,90,100,32.2
PRANSABMA1,5/21/2013,Recap,2531-91112,ASY,M,CP,NULL,34.25,91,95,30.9
PRANSABMA1,5/21/2013,Band,2561-86601,ASY,F,BP,NULL,47.12,92,99,31.3
PRANSABMA1,5/21/2013,Band,2371-04306,ASY,M,CP,NULL,21.61,65,67,25
VEARRICMA1,5/22/2013,Band,1212-52898,AHY,F,BP,NULL,71.11,124,89,37.7
KANEBRIMA1,5/23/2013,Band,2690-87707,ASY,M,CP,NULL,12.12,65.5,60,19.1
KANEBRIMA1,5/23/2013,Band,2690-87706,AHY,F,BP,NULL,12.18,67,NULL,19.7
KANEBRIMA1,5/23/2013,Band,2561-86604,ASY,M,CP,NULL,38.31,96,103,26.9
WHELGWEMA1,5/24/2013,Band,2690-87708,AHY,M,CP,NULL,12.3,68,65,22.5
WHELGWEMA1,5/24/2013,Band,2690-87709,ASY,M,CP,NULL,11.81,64,60,19.1
WHELGWEMA1,5/24/2013,Band,2561-86605,ASY,M,BP,NULL,42.05,93,110,27.8
BULLTHOMA1,5/27/2013,Band,1212-52835,ASY,F,BP,NULL,82.29,122,96,38.4
BULLTHOMA1,5/27/2013,Band,2690-87705,ASY,M,CP,NULL,12.23,68,71,20
NORMMONMA1,5/28/2013,Band,1212-36653,ASY,M,CP,NULL,76.48,130,97,39.9
CUSHTANMA1,5/29/2013,Band,1212-52851,SY,M,CP,NULL,78.02,125,95,38
CUSHTANMA1,5/29/2013,Band,2561-86606,ASY,F,BP,NULL,41.56,88,89,30.2
CODYMELMA1,5/30/2013,Band,1212-52852,HY,U,J,NULL,64.56,119,91,36.5
CODYMELMA1,5/30/2013,Band,2690-87711,ASY,F,BP,NULL,11.85,48,42,19
WOODSANMA1,5/31/2013,Band,1212-36654,ASY,M,CP,NULL,75.23,130,97,37.1
LEWASUSMA1,5/31/2013,Band,1212-52853,SY,F,BP,NULL,80,120,98,37.5
LEWASUSMA1,5/31/2013,Band,2371-04309,ASY,M,CP,NULL,22.6,60,52,24.8
LEWASUSMA1,5/31/2013,Band,2561-86607,ASY,F,BP,NULL,39.22,73,88,32
WOODSANMA1,5/31/2013,Band,1891-11040,ASY,M,CP,NULL,35.53,92,101,35.3
LEWASUSMA1,5/31/2013,Band,2561-86609,ASY,M,CP,NULL,38.8,90,98,32.6
WOODSANMA1,5/31/2013,Recap,2690-87825,ASY,M,CP,NULL,11.26,54,45,21.9
LEWASUSMA1,5/31/2013,Band,2690-87710,ASY,M,CP,NULL,11.3,51,44,19
LEWASUSMA1,5/31/2013,Band,2561-86608,AHY,M,CP,NULL,44.36,90,99,28.8
LEWASUSMA1,5/31/2013,Band,2371-04307,ASY,M,CP,NULL,21.93,64,65,24.8
LEWASUSMA1,5/31/2013,Band,2371-04308,SY,F,BP,NULL,19.7,64,62,24.3
SVECSTEMA1,6/1/2013,Band,1212-36657,ASY,M,CP,NULL,71.37,130,106,37.8
SVECSTEMA1,6/1/2013,Band,1212-36656,ASY,M,CP,NULL,74.59,128,101,38.1
HILLSALMA1,6/1/2013,Band,2690-87712,SY,F,BP,NULL,10.45,61,56,NULL
HILLSALMA1,6/1/2013,Recap,2690-87827,ASY,M,CP,NULL,11.08,63,58,19.2
HILLSALMA1,6/1/2013,Band,2371-04310,AHY,M,CP,NULL,22.45,61,52,24.5
SVECSTEMA1,6/1/2013,Band,1891-11042,AHY,M,CP,NULL,40.63,95,102,31.4
SVECSTEMA1,6/1/2013,Band,1891-11041,AHY,F,BP,NULL,46.85,89,95,31.7
SVECSTEMA1,6/1/2013,Band,2571-83034,ASY,M,CP,NULL,21.51,79,68,21.1
SURNSCOMA1,6/2/2013,Band,2291-44282,ASY,M,CP,NULL,19.79,62,62,25.1
BAKENANMA1,6/4/2013,Band,2690-87715,SY,M,CP,NULL,11.83,64,62,18.9
BAKENANMA1,6/4/2013,Band,2690-87714,AHY,M,CP,NULL,11.07,53,42,19
BAKENANMA1,6/4/2013,Band,2690-87713,ASY,F,BP,NULL,11.3,49,43,19
BAKENANMA1,6/4/2013,Band,2561-86610,ASY,M,CP,NULL,38.43,90.5,93,26.8
WILSMARMA1,6/5/2013,Band,1891-11045,ASY,M,CP,NULL,45.18,96,100,30.9
WILSMARMA1,6/5/2013,Band,1891-11043,ASY,F,BP,NULL,43.32,90,96,30
ANDEHALMA1,6/5/2013,Band,2690-87716,AHY,M,CP,NULL,11.75,64,62,19.4
BENNBILMA1,6/6/2013,Band,2690-87719,ASY,M,CP,NULL,12.07,65,62,18.2
BENNBILMA1,6/6/2013,Band,2690-87718,AHY,M,CP,NULL,11.85,66,64,19
BENNBILMA1,6/6/2013,Band,2561-86613,ASY,M,CP,NULL,36.25,92,95,31.5
BENNBILMA1,6/6/2013,Band,2561-86611,ASY,M,CP,NULL,40.49,93,99,32
BENNBILMA1,6/6/2013,Band,2561-86612,ASY,F,BP,NULL,40.2,89,93,32.2
BENNBILMA1,6/6/2013,Band,2690-87717,ASY,M,CP,NULL,10.73,49,42,19.3
